college_name,code
Shahul Hameed Memorial Engineering College  Kollam,SHM
Sahrdaya College of Engineering and Technology  Thrissur,SHR
Sarabhai Institute of Science and Technology  Thiruvananthapuram,SIT
St Josephs College of Engineering and Technology  Palai,SJC
Sree Narayana Guru College of Engineering and Technology  Kannur,SNC
Sree Narayana Gurukulam College of Engineering  Ernakulam,SNG
SNM Institute of Management and Technology  Ernakulam,SNM
Sree Narayana Institute of Technology  Adoor,SNP
Sree Narayana Guru Institute of Science and Technology  Ernakulam,SNT
Sreepathy Institute of Management and Technology  Palakkad,SPT
St Thomas Colllege of Engineering and Technology  Alappuzha,STC
St. Thomas Institute For Science and Technology  Thiruvananthapuram,STI
St.Thomas College of Engineering and Technology Kannur,STM
Toms College of Engineering for Startups Kottayam,TCE
Trinity College of Engineering  Thiruvananthapuram,TCT
Travancore Engineering College  Kollam,TEC
Thejus Engineering College  Thrissur,TJE
T K M Institute of Technology  Kollam,TKI
Toc H Institute of Science and Technology  Ernakulam,TOC
UKF College of Engineering and Technology  Kollam,UKP
Universal Engineering College  Thrissur,UNT
Vidya Academy of Science and Technology  Thiruvananthapuram,VAK
Vidya Academy of Science and Technology  Thrissur,VAS
Vijnan Institute of Science and Technology  Ernakulam,VIT
Viswajyothi College of Engineering and Technology  Ernakulam,VJC
Valia Koonambaikulathamma College of Engineering and Technology  Parippally,VKE
Vimal Jyothi Engineering College  Kannur,VML
Sri Vellappally Natesan College of Engineering  Alappuzha,VPE
Veda Vyasa Institute of Technology  Malappuram.,VVT
Younus College of Engineering and Technology  Kollam,YCE
Younus Institute of Technology  Kannanalloor,YCK
Younus College of Engineering  Kollam,YCW
